GENESIS-Tabelle: 41241-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area under cultivation (field crops and grassland): Germany,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"years (until 2009), types of crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop production report: field crops and grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area under cultivation (ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year
Roughage,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4641201,4570175,4481127,4543133,4579644,4604501,4630469,4638153,4666374,4575597,4507807,4470991,4436919,4426274,4490515,4628100,4667000,4671403,4689800,4653800
"Clover, clover grass and clover-lucerne mixtures",841783,954723,859627,778545,796907,792655,697698,706336,669999,665422,620993,653612,573539,595545,569997,516616,522752,482895,438589,419487,387560,363122,339240,315564,310855,298016,282402,257896,244339,219264,205634,202659,194834,189526,188355,181428,184529,176548,173583,169318,302196,268777,243149,237985,243531,235555,226604,226523,217471,201224,181548,172813,166930,158557,176567,193600,209800,205658,205600,213400
Lucerne,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,154045,109523,75068,67481,60894,49266,44062,37481,36046,31835,28584,26855,24564,23649,25919,32400,37600,39777,38800,41300
Field grass/grass cultivation on arable land,238192,234001,237139,240508,229560,213204,220254,226594,244037,247341,220754,246411,246317,241915,244444,261195,277235,275849,255271,254715,241247,212704,196867,187740,170269,155887,168687,123172,134227,96709,98144,97384,106489,101816,112749,105198,116525,97795,98673,95763,400351,239459,206204,226520,212046,212364,219886,233941,228221,225387,216131,206515,190487,188226,208583,279400,321300,328662,392500,400500
Silage maize (including ground ear maize),47216,43714,40452,45662,48546,46898,50096,45999,45840,37769,49886,43312,58106,56241,62593,100143,111309,121217,122076,149672,190575,238187,285146,346133,380678,430300,463082,539315,576111,649088,694599,735101,778849,807189,869326,931557,946939,937566,930874,924316,1365421,1308556,1242786,1264374,1205038,1251788,1326462,1294484,1235130,1202844,1154474,1132476,1119164,1172930,1248468,1262500,1345900,1470872,1566600,1646700
All other fodder plants,126782,73701,59995,72878,60053,47686,61217,49348,47604,38192,62469,36256,55107,43278,42937,41099,35914,34974,23746,20455,19523,21287,18826,20728,8172,11158,6597,7966,5328,5324,4605,5550,5658,5540,4851,5700,6534,12034,12105,12783,29405,90735,105028,57776,47402,43484,44758,48025,55399,47561,42360,42245,39063,45961,59878,37200,40900,42580,57800,45400
"Vegetables, strawberries and other garden plants",89873,77014,79569,85880,76766,82631,82600,86178,85740,82759,91647,90051,91953,97150,91292,86172,81553,83988,84987,78156,82228,81796,79614,79718,76577,74667,70577,71152,69791,57525,50653,53538,54405,55783,54927,60226,63608,60265,64625,65096,149311,96663,93793,91197,94159,102613,103771,102626,105435,110886,109308,115234,118096,124759,127368,129800,131700,129902,131000,128900
"Vegetables,asparagus,strawberries(excl.seed prod.)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,125280,84181,82228,80476,84463,91501,94288,93205,96398,101871,100445,105700,108724,114559,117548,120500,121800,119480,121000,119600
"Flowers,orn.plants,inc.young plants(ex.seed prod.)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9843,10049,9372,9266,8675,9725,8736,8841,8497,8477,8265,9021,8939,9545,9238,8800,9200,9601,8900,8500
"Horticult.seeds, multipl. of flower bulbs a.tubers",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12517,2431,2194,1456,1021,1387,748,580,540,538,598,513,434,655,581,500,600,821,1100,900
__________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
